# Command,Expeditor PWO2_Analytics.csv --outputDir PWO2_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFileU14596
# Started,2019-05-03 19:23:22
# Output folder,C:\Users\began\Documents\Product_80\Tutorial_PWO_2\PWO2_Analytics\PWO2_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-21,35.218562249714807,3.4311201604350341,5.404339300618858,41.0230102443,36.1255952582,43.25,3.0,30.0,36.6028263932,12.058,461.891,171.5,9.8000000000000000e+01,473.949,171.5,9.8000000000000000e+01,21.227,456.961,171.5,5.0000000000000000e+01,478.188,171.5,5.0000000000000000e+01,30.703,452.227,171.5,0.0000000000000000e+00,482.93,171.5,0.0000000000000000e+00,41.8981539034,6.58734013826,0:09:11 (H:M:S)
Run-22,41.176105311551574,1.9300333623195023,4.2500618257202039,45.0028657857,38.7650515586,43.25,3.0,30.0,38.7268623025,16.086,456.781,171.5,9.8000000000000000e+01,472.867,171.5,9.8000000000000000e+01,23.297,452.867,171.5,5.0000000000000000e+01,476.164,171.5,5.0000000000000000e+01,30.765,449.133,171.5,0.0000000000000000e+00,479.898,171.5,0.0000000000000000e+00,30.9826689775,5.51786624604,0:11:11 (H:M:S)
Run-23,41.703765051366332,-3.4381298074581865,5.6039536241906056,55.017699115,50.2045220138,43.25,3.0,30.0,50.6069383106,16.3475,450.594,171.5,9.8000000000000000e+01,466.9415,171.5,9.8000000000000000e+01,25.656,445.672,171.5,5.0000000000000000e+01,471.328,171.5,5.0000000000000000e+01,35.446,440.781,171.5,0.0000000000000000e+00,476.227,171.5,0.0000000000000000e+00,18.8726537743,6.58341527768,0:10:28 (H:M:S)
Run-24,37.348348793308098,-2.2246160277785183,6.5543297362377508,53.0092048881,47.5683656958,43.25,3.0,30.0,46.9963877182,13.508,454.492,171.5,9.8000000000000000e+01,468.0,171.5,9.8000000000000000e+01,24.343,448.813,171.5,5.0000000000000000e+01,473.156,171.5,5.0000000000000000e+01,35.836,443.07,171.5,0.0000000000000000e+00,478.906,171.5,0.0000000000000000e+00,26.7882704126,7.46237972427,0:11:41 (H:M:S)
Run-25,39.094802322783551,-0.24354131005613322,4.0734037514967021,49.0098365858,43.5767764647,43.25,3.0,30.0,44.7606330366,14.437,455.43,171.5,9.8000000000000000e+01,469.867,171.5,9.8000000000000000e+01,21.109,451.914,171.5,5.0000000000000000e+01,473.023,171.5,5.0000000000000000e+01,28.234,448.336,171.5,0.0000000000000000e+00,476.57,171.5,0.0000000000000000e+00,28.7992644484,5.10925547174,0:11:17 (H:M:S)
Run-26,40.488193348123332,-1.1766873551861776,5.7131652153919568,51.0073073868,44.9580119874,43.25,3.0,30.0,44.9979134064,15.476,453.477,171.5,9.8000000000000000e+01,468.953,171.5,9.8000000000000000e+01,24.883,448.547,171.5,5.0000000000000000e+01,473.43,171.5,5.0000000000000000e+01,34.859,443.563,171.5,0.0000000000000000e+00,478.422,171.5,0.0000000000000000e+00,24.7959054388,6.58341527768,0:11:38 (H:M:S)
Run-27,44.733273655310256,2.0454558098384519,5.2011430904901168,43.0381607757,38.1255952582,43.25,3.0,30.0,38.6754617414,18.2675,454.633,171.5,9.8000000000000000e+01,472.9005,171.5,9.8000000000000000e+01,26.977,450.0,171.5,5.0000000000000000e+01,476.977,171.5,5.0000000000000000e+01,36.054,445.469,171.5,0.0000000000000000e+00,481.523,171.5,0.0000000000000000e+00,26.9139118478,6.01596337666,0:08:57 (H:M:S)
Run-28,39.900295075536576,-0.089877672471031289,6.9256881659464575,49.0038192234,42.8644344471,43.25,3.0,30.0,42.9230125523,15.071,455.273,171.5,9.8000000000000000e+01,470.344,171.5,9.8000000000000000e+01,26.469,449.383,171.5,5.0000000000000000e+01,475.852,171.5,5.0000000000000000e+01,38.578,443.32,171.5,0.0000000000000000e+00,481.898,171.5,0.0000000000000000e+00,28.5396584594,7.70677010865,0:13:17 (H:M:S)
Run-29,41.80148895005096,0.88247793705668354,5.4180891083018299,47.0047717512,40.9167602373,43.25,3.0,30.0,40.8990066225,16.469,455.0,171.5,9.8000000000000000e+01,471.469,171.5,9.8000000000000000e+01,25.555,450.273,171.5,5.0000000000000000e+01,475.828,171.5,5.0000000000000000e+01,34.984,445.563,171.5,0.0000000000000000e+00,480.547,171.5,0.0000000000000000e+00,27.9454499278,6.24254435907,0:11:09 (H:M:S)
Run-30,40.50300949398779,3.733848260790098,5.5749678947196122,41.0107833809,35.6676146127,43.25,3.0,30.0,36.6047176975,15.539,458.406,171.5,9.8000000000000000e+01,473.945,171.5,9.8000000000000000e+01,24.688,453.617,171.5,5.0000000000000000e+01,478.305,171.5,5.0000000000000000e+01,34.422,448.75,171.5,0.0000000000000000e+00,483.172,171.5,0.0000000000000000e+00,34.7765950673,6.58292499749,0:11:23 (H:M:S)
Run-31,37.519262379801738,3.9680837785641057,6.1539319244428281,41.0012746973,34.5180874489,43.25,3.0,30.0,34.5028292418,13.709,461.211,171.5,9.8000000000000000e+01,474.92,171.5,9.8000000000000000e+01,23.797,456.039,171.5,5.0000000000000000e+01,479.836,171.5,5.0000000000000000e+01,34.531,450.664,171.5,0.0000000000000000e+00,485.195,171.5,0.0000000000000000e+00,40.5476334456,NOVAL,0:10:45 (H:M:S)
Run-32,41.636489740321764,-1.6196947247002171,3.5427379176453755,51.024877972,46.1255952582,43.25,3.0,30.0,46.7912280702,16.133,452.703,171.5,9.8000000000000000e+01,468.836,171.5,9.8000000000000000e+01,22.063,449.484,171.5,5.0000000000000000e+01,471.547,171.5,5.0000000000000000e+01,28.257,446.391,171.5,0.0000000000000000e+00,474.648,171.5,0.0000000000000000e+00,22.9624573379,4.64914670106,0:08:30 (H:M:S)
Run-33,41.165707947089743,1.7130463488714458,4.048336835093,45.0117292756,39.6835703979,43.25,3.0,30.0,40.7606330366,15.838,456.023,171.5,9.8000000000000000e+01,471.861,171.5,9.8000000000000000e+01,22.359,452.641,171.5,5.0000000000000000e+01,475.0,171.5,5.0000000000000000e+01,29.445,449.086,171.5,0.0000000000000000e+00,478.531,171.5,0.0000000000000000e+00,30.3347211999,5.10748107501,0:11:20 (H:M:S)
Run-34,42.470332887361138,3.8644771519470806,4.5290420386345334,41.0054062649,34.928758483,43.25,3.0,30.0,34.9567006128,16.8395,457.43,171.5,9.8000000000000000e+01,474.2695,171.5,9.8000000000000000e+01,24.313,453.523,171.5,5.0000000000000000e+01,477.836,171.5,5.0000000000000000e+01,32.219,449.57,171.5,0.0000000000000000e+00,481.789,171.5,0.0000000000000000e+00,32.7947071512,5.45606924825,0:12:38 (H:M:S)
Run-35,38.446145583285485,3.7907333115584985,3.3781458860062261,41.0085727893,35.56362586,43.25,3.0,30.0,36.8147268409,13.797,460.023,171.5,9.8000000000000000e+01,473.82,171.5,9.8000000000000000e+01,19.46,456.938,171.5,5.0000000000000000e+01,476.398,171.5,5.0000000000000000e+01,25.367,453.977,171.5,0.0000000000000000e+00,479.344,171.5,0.0000000000000000e+00,38.3293771642,4.68105870296,0:11:08 (H:M:S)
Run-36,44.374467749147243,-0.51394197647465045,3.0643272809868161,49.0208267592,44.1197091743,43.25,3.0,30.0,44.8318965517,17.782,452.031,171.5,9.8000000000000000e+01,469.813,171.5,9.8000000000000000e+01,22.898,449.219,171.5,5.0000000000000000e+01,472.117,171.5,5.0000000000000000e+01,28.258,446.555,171.5,0.0000000000000000e+00,474.813,171.5,0.0000000000000000e+00,22.3418521036,4.23670015751,0:10:57 (H:M:S)
Run-37,39.596212142501351,3.2605969395749694,3.2506021676348147,41.0298413696,36.1255952582,43.25,3.0,30.0,36.8167456556,14.7285,459.086,171.5,9.8000000000000000e+01,473.8145,171.5,9.8000000000000000e+01,20.078,456.203,171.5,5.0000000000000000e+01,476.281,171.5,5.0000000000000000e+01,25.734,453.383,171.5,0.0000000000000000e+00,479.117,171.5,0.0000000000000000e+00,36.3705032623,4.67907208723,0:08:34 (H:M:S)
Run-38,40.912527337457078,0.48797045567460273,6.1214055967244203,47.0208267592,42.1197091743,43.25,3.0,30.0,40.997764114,15.891,455.023,171.5,9.8000000000000000e+01,470.914,171.5,9.8000000000000000e+01,25.781,450.016,171.5,5.0000000000000000e+01,475.797,171.5,5.0000000000000000e+01,36.469,444.656,171.5,0.0000000000000000e+00,481.125,171.5,0.0000000000000000e+00,28.3039289907,7.056287469,0:11:17 (H:M:S)
