2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.9:lithography.dimensionalBias.xBias,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness,2.1.15:thickness
POR inSpec%,inSpec%,Confidence Interval,Nominal Value,Window,POR inSpec%,inSpec%,Confidence Interval,Nominal Value,Window,POR inSpec%,inSpec%,Confidence Interval,Nominal Value,Window
81.99203882020252,83.58105358850116,"[73.61932774561642, 93.00967669417602]",3.997274909963986,"[3.0072749099639857, 4.987274909963986]",81.99203882020252,84.6736282643191,"[75.94194512775967, 92.70556148559834]",-0.9927971188475389,"[-3.992797118847539, 2.007202881152461]",81.99203882020252,99.42368394741055,"[93.67538625502615, 100]",37.71656662665066,"[35.01656662665066, 40.416566626650656]"
81.99203882020252,83.57497094422075,"[73.64852272891805, 92.95345748538874]",3.998083233293317,"[3.008083233293317, 4.988083233293317]",81.99203882020252,84.6711441324889,"[75.93971716366971, 92.7028417151002]",-0.9919967987194878,"[-3.9919967987194878, 2.0080032012805122]",81.99203882020252,99.42058303247808,"[93.67246462315221, 100]",37.71840736294517,"[35.018407362945176, 40.418407362945175]"
81.99203882020252,83.56351265723531,"[73.63842537680475, 92.94071339011566]",3.998891556622649,"[3.008891556622649, 4.988891556622649]",81.99203882020252,84.6686601502019,"[75.93748933370182, 92.70012210833059]",-0.9911964785914367,"[-3.9911964785914367, 2.0088035214085633]",81.99203882020252,99.41746779253785,"[93.66952949448778, 100]",37.7202480992397,"[35.020248099239694, 40.42024809923969]"
81.99203882020252,83.55204081265497,"[73.62831607737249, 92.92795421586253]",3.999699879951981,"[3.009699879951981, 4.989699879951981]",81.99203882020252,84.6661763151613,"[75.93526163579602, 92.69740266277478]",-0.9903961584633851,"[-3.990396158463385, 2.009603841536615]",81.99203882020252,99.41433817541466,"[93.66658081987418, 100]",37.72208883553421,"[35.02208883553421, 40.42208883553421]"
81.99203882020252,83.54055539955539,"[73.61819482099445, 92.91517995047911]",4.000508203281312,"[3.0105082032813124, 4.990508203281312]",81.99203882020252,84.66369262506944,"[75.93303406789164, 92.69468337591721]",-0.989595838335334,"[-3.989595838335334, 2.010404161664666]",81.99203882020252,99.41119412881771,"[93.66361855004392, 100]",37.723929571828734,"[35.02392957182873, 40.42392957182873]"
81.99203882020252,83.52905640720508,"[73.60806159821371, 92.90239058202964]",4.001316526610644,"[3.0113165266106443, 4.991316526610644]",81.99203882020252,84.6612090776279,"[75.93080662792721, 92.69196424524142]",-0.988795518207283,"[-3.988795518207283, 2.011204481792717]",81.99203882020252,99.40803560034159,"[93.66064263562141, 100]",37.725770308123245,"[35.02577030812325, 40.42577030812325]"
81.99203882020252,83.51754382506601,"[73.5979163997439, 92.88958609879356]",4.002124849939976,"[3.012124849939976, 4.992124849939977]",81.99203882020252,84.65872567053746,"[75.92857931384067, 92.68924526823008]",-0.9879951980792319,"[-3.987995198079232, 2.012004801920768]",81.99203882020252,99.40486253746568,"[93.65765302712259, 100]",37.72761104441777,"[35.02761104441777, 40.427611044417766]"
81.99203882020252,83.5060176427959,"[73.5877592164711, 92.87676648926801]",4.002933173269307,"[3.0129331732693077, 4.992933173269307]",81.99203882020252,84.65624240149805,"[75.92635212356912, 92.68652644236496]",-0.9871948779511803,"[-3.9871948779511803, 2.0128051220488197]",81.99203882020252,99.40167488755468,"[93.65464967495537, 100]",37.72945178071228,"[35.029451780712286, 40.429451780712284]"
81.99203882020252,83.50603299113033,"[73.6535440608909, 92.80694810059656]",4.003741496598639,"[3.0137414965986395, 4.9937414965986395]",81.99203882020252,84.6537592682089,"[75.92412505504903, 92.68380776512706]",-0.9863945578231292,"[-3.9863945578231292, 2.0136054421768708]",81.99203882020252,99.39847259785853,"[93.6516325294194, 100]",37.73129251700681,"[35.031292517006804, 40.4312925170068]"
81.99203882020252,83.49457849562249,"[73.64344102809959, 92.7942178015746]",4.004549819927971,"[3.014549819927971, 4.994549819927971]",81.99203882020252,84.65127626836848,"[75.92189810621622, 92.68108923399649]",-0.9855942376950781,"[-3.985594237695078, 2.014405762304922]",81.99203882020252,99.36776052400252,"[93.5239251135685, 100]",37.73313325330132,"[35.03313325330132, 40.43313325330132]"
