# Command,Expeditor MC_VA_Analytics.csv --outputDir MC_VA_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFiled14528
# Started,2018-10-12 21:48:14
# Output folder,C:\Users\began\Documents\Product_80\New_Tutorial\MC_VA\MC_VA_Analytics\MC_VA_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-29,36.639908712444516,-0.61469331526019966,4.8163207845370541,49.024877972,44.1255952582,43.25,3.0,30.0,44.6774200818,12.8965,457.0,171.5,9.8000000000000000e+01,469.8965,171.5,9.8000000000000000e+01,20.984,452.688,171.5,5.0000000000000000e+01,473.672,171.5,5.0000000000000000e+01,29.406,448.477,171.5,0.0000000000000000e+00,477.883,171.5,0.0000000000000000e+00,31.9454499278,5.96276141832,0:08:07 (H:M:S)
Run-30,40.27983904934311,0.199878962567347,4.9481655372537254,47.0320050204,42.1255952582,43.25,3.0,30.0,42.6732542819,15.418,455.5,171.5,9.8000000000000000e+01,470.918,171.5,9.8000000000000000e+01,23.625,451.18,171.5,5.0000000000000000e+01,474.805,171.5,5.0000000000000000e+01,32.227,446.875,171.5,0.0000000000000000e+00,479.102,171.5,0.0000000000000000e+00,28.8514980069,5.97001598086,0:08:34 (H:M:S)
Run-31,40.773990487434617,1.6039469298412234,5.7807325715227575,45.0161315831,39.7644860697,43.25,3.0,30.0,40.6018810603,15.758,456.148,171.5,9.8000000000000000e+01,471.906,171.5,9.8000000000000000e+01,25.164,451.32,171.5,5.0000000000000000e+01,476.484,171.5,5.0000000000000000e+01,35.273,446.266,171.5,0.0000000000000000e+00,481.539,171.5,0.0000000000000000e+00,30.5304590528,6.58341527768,0:10:42 (H:M:S)
Run-32,39.759240973497398,-1.2700772042507358,4.8211982357796312,51.0110987791,45.6685376252,43.25,3.0,30.0,46.6738710519,14.883,454.039,171.5,9.8000000000000000e+01,468.922,171.5,9.8000000000000000e+01,22.859,449.805,171.5,5.0000000000000000e+01,472.664,171.5,5.0000000000000000e+01,31.281,445.594,171.5,0.0000000000000000e+00,476.875,171.5,0.0000000000000000e+00,26.3138747994,5.96316398867,0:11:58 (H:M:S)
Run-33,43.724158518526721,-0.57672391815669044,6.4687272526116901,49.0233217775,44.1255952582,43.25,3.0,30.0,42.9975932611,17.7936153846,452.195,171.5,9.8000000000000000e+01,469.988615385,171.5,9.8000000000000000e+01,28.305,446.781,171.5,5.0000000000000000e+01,475.086,171.5,5.0000000000000000e+01,39.649,441.109,171.5,0.0000000000000000e+00,480.758,171.5,0.0000000000000000e+00,22.5331732176,7.4596841521,0:10:43 (H:M:S)
Run-34,33.00261251601043,-0.12421269136460755,6.0261906821458213,49.0050890585,42.9263301833,43.25,3.0,30.0,42.8908418131,10.938,459.523,171.5,9.8000000000000000e+01,470.461,171.5,9.8000000000000000e+01,21.086,454.219,171.5,5.0000000000000000e+01,475.305,171.5,5.0000000000000000e+01,31.601,448.969,171.5,0.0000000000000000e+00,480.57,171.5,0.0000000000000000e+00,36.8073276427,6.69295669905,0:10:43 (H:M:S)
Run-35,38.367811513239793,1.1240724552507533,4.9337516064125575,45.0350877193,40.1255952582,43.25,3.0,30.0,40.6721534568,14.059,457.859,171.5,9.8000000000000000e+01,471.918,171.5,9.8000000000000000e+01,22.461,453.328,171.5,5.0000000000000000e+01,475.789,171.5,5.0000000000000000e+01,31.047,449.031,171.5,0.0000000000000000e+00,480.078,171.5,0.0000000000000000e+00,33.9115469527,5.96840233626,0:09:00 (H:M:S)
Run-36,40.903865876998253,-0.46303645424964368,5.1447707833186902,49.0186384457,44.1121599876,43.25,3.0,30.0,44.6725845494,15.928,453.992,171.5,9.8000000000000000e+01,469.92,171.5,9.8000000000000000e+01,24.071,449.867,171.5,5.0000000000000000e+01,473.938,171.5,5.0000000000000000e+01,33.055,445.359,171.5,0.0000000000000000e+00,478.414,171.5,0.0000000000000000e+00,25.9807884255,6.01145968566,0:11:29 (H:M:S)
Run-37,42.035412519886513,-1.1393796917564667,5.4465190342265801,51.0057233704,44.9538779454,43.25,3.0,30.0,44.9870299651,16.426,452.617,171.5,9.8000000000000000e+01,469.043,171.5,9.8000000000000000e+01,25.445,447.828,171.5,5.0000000000000000e+01,473.273,171.5,5.0000000000000000e+01,34.976,443.055,171.5,0.0000000000000000e+00,478.031,171.5,0.0000000000000000e+00,22.9106456044,6.53716103999,0:13:15 (H:M:S)
Run-38,38.275226962779563,0.92661774527645269,3.026433059289511,47.0028657857,40.7650515586,43.25,3.0,30.0,40.83465133,14.032,457.773,171.5,9.8000000000000000e+01,471.805,171.5,9.8000000000000000e+01,19.172,454.914,171.5,5.0000000000000000e+01,474.086,171.5,5.0000000000000000e+01,24.476,452.266,171.5,0.0000000000000000e+00,476.742,171.5,0.0000000000000000e+00,32.979876161,4.2370055599,0:10:15 (H:M:S)
